phase,condition,kind,metric,value,numerator,denominator,wilson_low,wilson_high
recovery,prompt,answerable,chart_returned,1.0,3.0,3,0.4385029682449546,1.0
recovery,prompt,answerable,chart_correct,1.0,3.0,3,0.4385029682449546,1.0
recovery,prompt,answerable,evidence_valid,1.0,6.0,6,0.6096657120978346,1.0
recovery,prompt,answerable,tool_selection_policy_met,1.0,6.0,6,0.6096657120978346,1.0
recovery,prompt,answerable,recovered_after_injection,1.0,6.0,6,0.6096657120978346,1.0
recovery,prompt,answerable,operational_failure,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,prompt,answerable,mean_accuracy,1.0,,6,,
recovery,prompt,answerable,mean_completeness,1.0,,6,,
recovery,prompt,answerable,mean_latency_s,10.458714965507776,,6,,
recovery,prompt,answerable,mean_cost_usd,0.002286866666666667,,6,,
recovery,prompt,answerable,mean_input_tokens,4913.166666666667,,6,,
recovery,prompt,answerable,mean_output_tokens,417.0,,6,,
recovery,prompt,answerable,median_latency_s,10.279675062512979,,6,,
recovery,prompt,answerable,p95_latency_s,13.00281483354047,,6,,
recovery,verified,answerable,task_success,1.0,6.0,6,0.6096657120978346,1.0
recovery,verified,answerable,false_refusal,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,verified,answerable,factual_error,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,verified,answerable,chart_returned,1.0,3.0,3,0.4385029682449546,1.0
recovery,verified,answerable,chart_correct,1.0,3.0,3,0.4385029682449546,1.0
recovery,verified,answerable,evidence_valid,1.0,6.0,6,0.6096657120978346,1.0
recovery,verified,answerable,tool_selection_policy_met,1.0,6.0,6,0.6096657120978346,1.0
recovery,verified,answerable,recovered_after_injection,1.0,6.0,6,0.6096657120978346,1.0
recovery,verified,answerable,operational_failure,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,verified,answerable,mean_accuracy,1.0,,6,,
recovery,verified,answerable,mean_completeness,1.0,,6,,
recovery,verified,answerable,mean_latency_s,10.598043187511697,,6,,
recovery,verified,answerable,mean_cost_usd,0.002261066666666667,,6,,
recovery,verified,answerable,mean_input_tokens,4909.333333333333,,6,,
recovery,verified,answerable,mean_output_tokens,401.8333333333333,,6,,
recovery,verified,answerable,median_latency_s,10.3974211459863,,6,,
recovery,verified,answerable,p95_latency_s,11.947201635033707,,6,,
